record_id,timestamp_utc,device_id,device_type,location_city,edge_node_id,distance_to_edge_km,network_slice_id,qos_class,protocol,uplink_bandwidth_Mbps,downlink_bandwidth_Mbps,latency_ms,jitter_ms,throughput_Mbps,packet_size_bytes,packet_loss_pct,retransmissions,signal_rssi_dBm,cpu_usage_pct,memory_usage_pct,battery_level_pct,mobility_state,task_type,task_size_kb,model_size_mb,ai_accelerator,inference_time_ms,energy_consumption_j,offload_location,security_scheme,encryption_enabled,enrolled_in_federated_learning,federated_rounds,blockchain_enabled,priority,core_network_latency_ms,task_offload_success,notes,edge_processing_time_ms,end_to_end_latency_ms,is_urlc_like
11,2025-09-11T07:13:06,aut_42591,autonomous_vehicle,Ahmedabad,edge_013,1.33,slice_3,URLLC,HTTP/3,16.44,72.074,1.255,0.339,92.084,133,0.0,0,-58,65.21,95.44,23.9,static,predictive_maintenance,29.366,0.5,tiny_ml,1.083,58.801,hybrid,blockchain_enabled,True,0,0,True,low,10.115,1,,1.047,3.448,1
12,2025-09-12T09:02:00,rob_73092,robotic_arm,Pune,edge_026,3.073,slice_7,eMBB,HTTP/3,11.724,12.329,3.022,1.197,26.857,1044,1.047,1,-67,42.27,56.66,79.2,aerial,telemetry_aggregation,94.589,5.0,gpu,2.028,9.208,edge,tls,True,0,0,False,medium,-1.122,1,,1.927,7.339,0
13,2025-09-27T18:48:23,rob_75909,robotic_arm,Pune,edge_011,1.458,slice_3,URLLC,HTTP/3,27.644,15.68,0.917,0.35,35.82,183,0.386,0,-62,55.33,79.17,97.5,mobile,video_analytics,226.386,5.0,none,0.626,54.099,edge,blockchain_enabled,True,0,0,True,medium,7.326,1,,0.588,3.675,1
14,2025-09-14T21:27:47,dro_41285,drone,Bengaluru,edge_026,2.137,slice_8,eMBB,HTTP/3,3.153,15.385,2.719,0.822,15.28,60,0.416,0,-77,35.28,57.25,70.0,static,voice_processing,43.578,10.0,gpu,2.285,5.26,hybrid,tls,True,0,0,False,low,9.451,1,,2.109,4.738,0
15,2025-09-28T08:53:40,ind_67433,industrial_sensor,Delhi,edge_046,4.836,slice_9,mMTC,HTTP/3,1.082,1.68,8.384,1.467,9.094,438,1.254,0,-70,17.78,17.48,100.0,mobile,video_analytics,15.978,0.5,gpu,4.535,5.095,local,tls,True,0,0,False,high,0.486,1,,4.009,15.934,0
16,2025-09-25T17:10:50,sma_76244,smart_meter,Pune,edge_017,6.897,slice_5,eMBB,HTTP/3,0.372,0.05,50.315,3.783,-6.729,333,0.798,0,-70,5.55,9.55,76.3,mobile,image_inference,13.265,5.0,tiny_ml,22.019,0.099,local,tls,True,0,0,False,low,45.333,1,,19.138,69.786,0
17,2025-09-30T06:40:21,sma_58393,smart_camera,Bengaluru,edge_036,4.061,slice_5,URLLC,QUIC,5.515,6.172,13.114,1.061,12.042,190,0.0,0,-57,47.47,60.91,51.8,vehicular,predictive_maintenance,87.708,5.0,npu,11.043,5.158,cloud,blockchain_enabled,True,1,3,True,medium,35.005,1,,11.663,23.812,1
18,2025-09-09T21:19:40,ind_41029,industrial_sensor,Kolkata,edge_012,1.937,slice_6,URLLC,UDP,0.91,1.089,5.199,0.617,2.586,165,0.798,0,-70,24.5,32.3,50.4,mobile,image_inference,107.002,1.0,tiny_ml,4.312,2.778,hybrid,dtls,True,0,0,False,high,15.082,1,,5.035,6.83,1
19,2025-09-16T19:34:22,rob_55830,robotic_arm,Hyderabad,edge_015,7.737,slice_7,eMBB,HTTP/3,13.741,47.739,2.048,0.306,66.806,175,0.783,0,-62,55.17,80.13,100.0,aerial,image_inference,21.533,50.0,npu,1.717,44.542,local,blockchain_enabled,True,0,0,True,medium,2.143,1,,1.723,7.721,0
20,2025-09-07T06:17:52,sma_15014,smart_meter,Kolkata,edge_039,0.7,slice_6,mMTC,QUIC,0.105,0.382,4237.451,212.497,1.506,169,1.491,1,-59,4.98,6.21,11.2,mobile,anomaly_detection,44.185,1.0,npu,3219.255,0.05,edge,tls,True,0,0,False,medium,4253.314,1,,2959.106,7197.594,0
21,2025-09-05T09:31:30,dro_66531,drone,Chennai,edge_043,2.968,slice_2,eMBB,TCP,14.191,2.91,3.822,0.527,12.965,75,0.985,0,-66,43.11,61.6,81.8,aerial,video_analytics,112.912,0.5,tiny_ml,2.253,34.561,edge,tls,True,0,0,False,medium,6.513,1,,1.946,7.401,0
22,2025-09-28T14:23:34,sma_63225,smart_meter,Delhi,edge_001,4.617,slice_10,eMBB,TCP,0.373,0.08,43.117,1.813,1.37,1032,2.723,1,-61,5.09,9.97,80.6,aerial,anomaly_detection,71.22,5.0,tiny_ml,23.365,0.061,edge,tls,True,0,0,False,medium,41.978,1,,26.451,73.705,0
23,2025-09-17T01:39:52,aut_40784,autonomous_vehicle,Hyderabad,edge_015,5.538,slice_4,URLLC,CoAP,29.878,40.713,0.237,1.044,68.245,147,0.0,1,-79,33.92,76.34,100.0,mobile,telemetry_aggregation,80.08,0.5,edge_tpu,0.176,21.746,local,blockchain_enabled,True,0,0,True,low,19.889,1,,0.209,0.014,1
24,2025-09-12T14:58:05,aut_65724,autonomous_vehicle,Ahmedabad,edge_012,1.203,slice_4,URLLC,CoAP,97.684,79.16,1.217,2.391,176.132,1101,0.0,1,-72,63.23,69.03,13.6,vehicular,predictive_maintenance,55.074,100.0,none,0.794,37.646,cloud,tls,True,0,0,False,low,11.2,1,,0.746,-1.16,1
25,2025-09-23T20:22:08,ind_72216,industrial_sensor,Hyderabad,edge_017,3.936,slice_9,eMBB,QUIC,1.042,1.505,9.083,0.374,9.39,127,0.801,1,-67,21.21,45.36,68.6,mobile,control_command,46.305,50.0,tiny_ml,4.683,1.332,local,tls,True,0,0,False,medium,21.856,1,,4.291,14.583,0
26,2025-09-21T18:53:14,aut_64377,autonomous_vehicle,Ahmedabad,edge_022,1.156,slice_4,eMBB,UDP,73.847,8.515,2.667,1.019,74.039,93,0.988,2,-66,68.25,32.01,36.1,static,predictive_maintenance,22.496,5.0,tiny_ml,1.536,46.676,local,blockchain_enabled,True,0,0,True,medium,14.038,1,,1.598,6.189,0
27,2025-09-28T12:17:23,tra_80545,traffic_sensor,Hyderabad,edge_039,1.679,slice_7,eMBB,QUIC,3.269,1.234,14.679,1.101,-0.673,169,0.576,0,-72,21.79,25.73,64.8,mobile,predictive_maintenance,37.42,5.0,tiny_ml,12.528,2.478,edge,dtls,True,0,0,False,medium,13.336,1,,13.908,28.798,0
28,2025-09-22T19:22:11,aut_94246,autonomous_vehicle,Jaipur,edge_009,0.12,slice_7,URLLC,HTTP/3,20.583,63.201,1.075,0.568,72.823,260,2.099,0,-55,78.83,59.14,48.4,vehicular,telemetry_aggregation,16.672,0.5,edge_tpu,0.44,20.035,local,tls,True,0,0,False,medium,3.589,0,,0.432,6.928,1
29,2025-09-05T07:56:45,dro_39389,drone,Pune,edge_050,7.061,slice_4,URLLC,HTTP/3,4.528,18.232,6.887,0.216,27.168,726,0.0,0,-72,23.94,47.29,90.5,static,control_command,16.278,0.1,none,3.333,6.187,cloud,tls,True,1,2,False,medium,3.235,1,,3.506,3.935,1
30,2025-09-17T02:23:10,aut_31465,autonomous_vehicle,Lucknow,edge_007,0.223,slice_10,mMTC,TCP,68.917,32.026,2.136,0.769,96.623,460,0.479,0,-76,80.05,100.0,100.0,static,image_inference,7.532,0.5,npu,1.176,79.852,edge,tls,True,0,0,False,medium,3.239,1,,1.278,7.774,0
31,2025-09-27T20:41:34,sma_55508,smart_camera,Chennai,edge_028,0.29,slice_6,eMBB,HTTP/3,4.418,12.704,9.328,0.704,8.098,208,0.47,1,-62,40.95,52.01,66.5,vehicular,image_inference,76.05,5.0,tiny_ml,7.154,10.519,edge,tls,True,0,0,False,low,18.893,1,,8.472,21.173,0
32,2025-09-23T03:28:50,rob_70931,robotic_arm,Lucknow,edge_047,5.319,slice_4,eMBB,UDP,18.41,5.557,3.038,0.987,27.825,86,0.518,0,-62,93.28,38.82,16.2,aerial,anomaly_detection,33.756,0.5,none,1.709,19.4,edge,blockchain_enabled,True,1,2,True,medium,14.12,1,,1.48,6.888,0
33,2025-09-15T13:49:31,sma_54608,smart_meter,Delhi,edge_039,4.624,slice_4,URLLC,HTTP/3,0.171,0.215,36.788,2.327,2.19,582,0.635,0,-52,4.85,8.23,82.3,aerial,video_analytics,19.767,0.5,gpu,18.791,0.172,local,tls,True,0,0,False,medium,50.067,1,,22.53,50.31,1
34,2025-09-28T20:50:32,dro_72031,drone,Chennai,edge_034,2.496,slice_9,mMTC,HTTP/3,14.81,0.008,6.581,1.542,17.663,558,0.292,1,-67,40.18,63.86,56.9,static,predictive_maintenance,59.724,1.0,gpu,4.903,11.343,hybrid,tls,True,0,0,False,high,13.877,1,,4.691,16.124,0
35,2025-09-27T11:14:45,sma_87278,smart_meter,Delhi,edge_039,5.861,slice_5,mMTC,HTTP/3,0.085,0.146,120.414,6.203,-1.992,524,0.722,1,-63,4.43,6.3,38.8,vehicular,image_inference,109.27,0.1,none,86.57,0.079,hybrid,none,False,0,0,False,medium,132.047,1,,94.299,212.634,0
36,2025-09-15T19:16:44,sma_85243,smart_camera,Jaipur,edge_031,1.391,slice_1,eMBB,HTTP/3,3.195,12.964,13.938,1.11,16.394,434,1.144,1,-49,40.33,41.33,52.2,aerial,predictive_maintenance,4.773,5.0,npu,9.498,6.87,local,tls,True,1,6,False,medium,40.087,0,,9.773,23.188,0
37,2025-09-22T04:52:39,aut_83147,autonomous_vehicle,Lucknow,edge_039,4.47,slice_9,eMBB,QUIC,59.697,61.205,1.86,0.003,121.269,215,0.19,1,-58,100.0,79.17,100.0,aerial,control_command,19.92,1.0,npu,1.625,27.066,cloud,tls,True,0,0,False,high,-6.379,1,,1.616,3.964,0
38,2025-09-13T15:27:46,aut_30585,autonomous_vehicle,Ahmedabad,edge_012,0.397,slice_7,URLLC,QUIC,17.484,11.86,0.894,1.081,28.521,451,0.0,0,-66,64.89,46.91,26.3,vehicular,image_inference,105.926,1.0,edge_tpu,0.71,67.249,hybrid,tls,True,1,3,False,medium,10.027,1,,0.766,3.882,1
39,2025-09-07T13:43:25,wea_65723,wearable,Hyderabad,edge_035,0.972,slice_5,URLLC,UDP,0.54,0.346,7.219,0.328,-0.971,734,1.197,0,-69,8.22,15.4,41.5,vehicular,voice_processing,29.709,5.0,none,3.87,0.33,edge,tls,True,0,0,False,medium,-4.368,1,,3.709,13.846,1
40,2025-09-17T15:31:53,sma_66626,smart_camera,Delhi,edge_039,3.501,slice_10,URLLC,QUIC,5.056,4.424,5.377,0.754,4.214,359,0.279,0,-71,48.88,60.45,22.8,static,image_inference,17.323,5.0,none,2.899,8.179,edge,blockchain_enabled,True,0,0,True,low,9.334,1,,2.465,11.521,1
41,2025-09-24T19:36:05,rob_21959,robotic_arm,Kolkata,edge_023,4.772,slice_2,eMBB,UDP,18.939,28.468,2.755,0.223,46.482,133,1.261,0,-55,40.14,75.01,54.5,aerial,anomaly_detection,82.198,0.1,tiny_ml,1.547,19.928,edge,secure_element,True,0,0,False,low,-2.254,1,,1.54,7.743,0
42,2025-09-28T08:10:01,sma_96200,smart_camera,Kolkata,edge_030,0.993,slice_6,URLLC,TCP,10.787,18.935,0.2,0.766,36.452,140,0.977,0,-76,65.58,27.45,49.3,vehicular,image_inference,4.92,50.0,edge_tpu,0.092,8.638,edge,tls,True,1,0,False,low,4.952,1,,0.093,2.052,1
43,2025-09-17T02:02:59,wea_30758,wearable,Pune,edge_036,1.011,slice_4,eMBB,CoAP,0.061,0.419,15.491,0.514,3.031,351,2.296,0,-64,5.93,17.07,74.2,mobile,video_analytics,447.691,10.0,npu,12.662,1.415,edge,tls,True,1,3,False,low,33.055,1,,11.152,28.891,0
44,2025-09-11T06:04:36,ind_60277,industrial_sensor,Ahmedabad,edge_039,9.68,slice_2,mMTC,HTTP/3,1.417,0.652,4.687,0.689,1.589,327,0.539,2,-75,15.12,37.9,54.6,vehicular,voice_processing,12.912,5.0,gpu,4.216,1.194,edge,tls,True,0,0,False,medium,10.663,1,,4.951,7.366,0
45,2025-09-18T03:19:13,rob_55236,robotic_arm,Ahmedabad,edge_036,1.958,slice_6,eMBB,UDP,6.88,27.132,2.132,2.082,32.881,83,0.0,0,-65,33.58,58.49,99.5,aerial,predictive_maintenance,73.486,5.0,npu,1.264,20.397,cloud,tls,True,0,0,False,medium,16.285,1,,1.126,2.005,0
46,2025-09-03T19:07:50,ind_74923,industrial_sensor,Ahmedabad,edge_009,1.881,slice_2,eMBB,UDP,1.001,1.774,8.162,1.242,6.183,445,0.135,2,-61,19.65,17.54,96.9,mobile,video_analytics,67.556,0.5,tiny_ml,7.22,3.787,edge,tls,True,0,0,False,medium,21.587,1,,6.958,18.806,0
47,2025-09-27T21:42:53,aut_53065,autonomous_vehicle,Chennai,edge_025,2.048,slice_8,mMTC,UDP,60.801,18.541,2.551,0.915,82.27,165,1.694,0,-54,60.76,72.36,65.8,vehicular,voice_processing,66.188,10.0,none,1.829,10.869,local,tls,True,0,0,False,low,9.815,1,,1.577,7.64,0
48,2025-09-04T05:34:59,sma_13794,smart_meter,Pune,edge_021,1.012,slice_7,eMBB,HTTP/3,0.128,0.164,88.187,6.708,-3.547,531,0.0,0,-67,4.44,10.91,86.4,mobile,anomaly_detection,268.514,0.5,edge_tpu,57.219,0.052,edge,tls,True,0,0,False,medium,85.838,1,,58.038,149.396,0
49,2025-09-14T09:28:36,sma_70236,smart_meter,Pune,edge_043,3.666,slice_5,eMBB,TCP,0.211,0.086,73.652,3.517,-2.817,195,0.586,0,-71,7.89,6.67,64.0,vehicular,control_command,163.684,5.0,none,36.797,0.056,cloud,tls,True,0,0,False,medium,73.861,1,,33.966,107.075,0
50,2025-09-29T18:20:16,wea_59986,wearable,Lucknow,edge_023,3.63,slice_5,mMTC,HTTP/3,0.521,1.065,19.076,0.121,7.004,1093,0.71,1,-61,8.62,17.37,50.1,static,anomaly_detection,51.466,5.0,gpu,15.029,0.298,hybrid,tls,True,1,1,False,high,28.746,1,,14.965,37.772,0
51,2025-09-11T05:31:10,wea_93442,wearable,Delhi,edge_040,3.752,slice_3,mMTC,TCP,0.097,0.426,33.267,1.146,-1.273,140,1.546,0,-63,9.96,19.46,12.5,aerial,voice_processing,836.924,10.0,npu,18.741,0.208,hybrid,dtls,True,0,0,False,medium,53.041,1,,16.677,47.46,0
52,2025-09-26T08:37:58,dro_79579,drone,Bengaluru,edge_018,5.62,slice_8,mMTC,CoAP,18.249,7.707,10.716,1.038,21.871,620,0.866,1,-58,50.09,62.23,82.7,aerial,anomaly_detection,18.511,50.0,tiny_ml,8.167,16.13,hybrid,blockchain_enabled,True,0,0,True,low,16.89,0,,6.709,21.657,0
53,2025-09-21T03:42:44,dro_21836,drone,Delhi,edge_001,3.614,slice_6,URLLC,TCP,4.626,6.51,4.208,1.028,11.376,585,0.413,0,-76,40.25,46.01,76.1,vehicular,video_analytics,99.622,5.0,gpu,2.864,23.848,hybrid,tls,True,0,0,False,low,5.997,1,,3.184,7.609,1
54,2025-09-24T12:54:38,aut_93283,autonomous_vehicle,Delhi,edge_045,0.334,slice_3,eMBB,HTTP/3,15.654,24.689,1.916,1.169,49.749,856,2.252,4,-73,67.16,57.75,100.0,mobile,voice_processing,169.266,0.1,none,1.478,13.003,edge,blockchain_enabled,True,1,2,True,low,6.39,1,,1.561,9.53,0
55,2025-09-06T19:22:05,ind_64379,industrial_sensor,Lucknow,edge_032,0.133,slice_5,mMTC,HTTP/3,0.623,0.696,8.917,0.69,-2.027,525,1.718,1,-69,13.6,36.54,28.1,vehicular,predictive_maintenance,88.028,1.0,tiny_ml,5.166,1.17,hybrid,tls,True,0,0,False,medium,12.264,1,,4.837,10.19,0
56,2025-09-06T10:48:25,aut_69600,autonomous_vehicle,Hyderabad,edge_043,1.731,slice_1,eMBB,HTTP/3,24.258,60.659,2.47,0.466,92.118,187,1.157,0,-61,74.26,77.83,67.2,mobile,voice_processing,87.242,0.5,tiny_ml,2.062,27.978,local,blockchain_enabled,True,0,0,True,medium,13.142,1,,1.689,10.449,0
57,2025-09-09T00:34:24,sma_46342,smart_camera,Ahmedabad,edge_009,5.071,slice_2,mMTC,TCP,13.869,2.598,11.954,0.994,10.999,117,2.978,0,-60,42.07,74.94,44.7,mobile,anomaly_detection,28.937,0.1,none,7.298,5.962,local,none,False,0,0,False,high,12.987,1,,8.365,20.235,0
58,2025-09-26T21:57:55,rob_57453,robotic_arm,Mumbai,edge_038,1.463,slice_10,eMBB,HTTP/3,23.558,5.487,2.362,0.114,25.386,62,0.785,1,-74,75.67,79.26,76.2,aerial,predictive_maintenance,30.946,1.0,gpu,1.448,18.121,cloud,blockchain_enabled,True,0,0,True,high,6.673,1,,1.257,3.481,0
59,2025-09-05T22:07:38,rob_19632,robotic_arm,Lucknow,edge_021,5.952,slice_5,URLLC,TCP,7.664,15.794,1.858,1.492,24.446,400,1.04,0,-57,55.82,54.49,70.9,vehicular,telemetry_aggregation,93.25,10.0,edge_tpu,1.535,9.885,cloud,secure_element,True,0,0,False,medium,2.576,1,,1.799,5.242,1
60,2025-09-23T22:05:57,wea_66370,wearable,Kolkata,edge_015,0.493,slice_7,mMTC,QUIC,0.383,0.484,23.727,0.155,1.925,274,0.098,0,-69,11.55,19.23,100.0,vehicular,anomaly_detection,1415.768,10.0,none,10.504,0.468,local,tls,True,0,0,False,medium,33.241,1,,10.414,33.05,0
61,2025-09-29T00:13:07,dro_27054,drone,Lucknow,edge_004,6.43,slice_2,eMBB,QUIC,11.126,8.346,10.978,0.677,26.372,439,1.522,2,-76,42.24,56.78,97.7,static,video_analytics,304.335,5.0,npu,5.559,31.87,edge,blockchain_enabled,True,0,0,True,medium,3.367,1,,5.204,16.965,0
62,2025-09-29T00:05:45,aut_55890,autonomous_vehicle,Mumbai,edge_024,4.422,slice_4,eMBB,UDP,55.481,67.264,1.625,1.569,116.516,427,1.299,0,-65,62.45,88.59,46.2,static,control_command,2.762,5.0,gpu,0.872,29.646,local,blockchain_enabled,True,0,0,True,medium,5.93,1,,0.956,1.368,0
63,2025-09-10T19:21:09,dro_10800,drone,Lucknow,edge_010,5.644,slice_3,eMBB,TCP,5.128,8.211,8.345,0.494,12.891,92,1.678,1,-75,49.96,39.45,98.2,aerial,voice_processing,6.231,5.0,npu,6.579,6.429,cloud,tls,True,0,0,False,medium,23.125,1,,7.571,14.813,0
64,2025-09-09T15:23:43,sma_30392,smart_camera,Lucknow,edge_049,1.599,slice_5,eMBB,QUIC,13.571,4.275,8.972,0.377,23.275,658,1.111,1,-65,59.1,60.78,75.9,mobile,image_inference,97.182,1.0,tiny_ml,6.632,9.798,edge,tls,True,0,0,False,medium,17.592,1,,6.289,17.722,0
65,2025-09-21T04:30:53,sma_38903,smart_camera,Pune,edge_039,0.653,slice_4,eMBB,UDP,20.203,8.401,6.272,0.926,28.941,379,1.77,3,-73,42.2,88.71,2.0,aerial,image_inference,32.092,5.0,gpu,4.078,10.544,cloud,tls,True,1,3,False,low,13.733,1,,3.927,8.494,0
66,2025-09-04T01:17:07,aut_62044,autonomous_vehicle,Pune,edge_028,3.792,slice_6,mMTC,QUIC,71.127,84.403,1.797,0.026,159.036,366,1.952,0,-62,70.22,77.38,32.3,static,predictive_maintenance,279.742,50.0,edge_tpu,1.132,38.968,hybrid,secure_element,True,0,0,False,medium,-3.024,1,,1.102,1.594,0
67,2025-09-13T19:29:02,tra_23875,traffic_sensor,Lucknow,edge_028,5.269,slice_7,eMBB,UDP,3.618,1.628,7.885,0.884,12.916,560,1.136,0,-78,19.47,48.58,56.1,static,predictive_maintenance,6.26,1.0,gpu,4.531,1.848,hybrid,tls,True,0,0,False,medium,7.284,1,,5.296,10.063,0
68,2025-09-06T23:46:32,ind_40968,industrial_sensor,Delhi,edge_010,2.313,slice_3,URLLC,UDP,0.652,0.011,8.082,0.985,0.35,647,0.807,0,-78,25.11,48.3,1.0,aerial,telemetry_aggregation,212.415,10.0,gpu,6.797,0.685,edge,tls,True,0,0,False,medium,15.332,0,,7.321,14.891,1
69,2025-09-17T08:19:41,dro_92210,drone,Jaipur,edge_010,0.908,slice_5,eMBB,UDP,7.018,3.145,4.838,1.213,12.918,249,0.893,0,-69,20.88,49.46,42.4,aerial,image_inference,248.349,1.0,edge_tpu,4.026,28.638,local,tls,True,1,2,False,low,8.564,1,,3.62,13.393,0
70,2025-09-30T04:07:56,tra_70648,traffic_sensor,Pune,edge_036,5.448,slice_10,mMTC,TCP,2.488,5.568,14.699,0.156,6.551,1038,1.4,0,-64,27.95,36.22,17.2,static,predictive_maintenance,171.537,50.0,tiny_ml,6.499,2.192,hybrid,tls,True,1,2,False,medium,9.328,1,,5.68,18.841,0
71,2025-09-27T10:35:01,rob_67595,robotic_arm,Lucknow,edge_034,2.611,slice_5,eMBB,QUIC,15.81,22.708,1.737,0.326,39.857,568,1.98,0,-71,85.56,44.89,43.4,vehicular,telemetry_aggregation,75.69,50.0,gpu,1.323,7.346,edge,secure_element,True,1,2,False,medium,19.724,1,,1.18,1.722,0
72,2025-09-05T22:57:23,ind_53694,industrial_sensor,Bengaluru,edge_038,0.135,slice_7,eMBB,HTTP/3,2.334,2.09,8.208,0.713,7.931,217,0.393,0,-69,11.88,34.23,40.9,vehicular,anomaly_detection,10.767,1.0,gpu,6.096,1.184,cloud,tls,True,0,0,False,medium,13.476,1,,5.519,15.309,0
73,2025-09-19T13:33:36,tra_76648,traffic_sensor,Chennai,edge_002,0.745,slice_4,URLLC,HTTP/3,1.46,0.013,8.496,1.652,1.879,365,0.0,1,-74,35.45,38.67,95.9,mobile,anomaly_detection,17.312,5.0,gpu,6.946,2.367,cloud,tls,True,0,0,False,low,18.531,1,,6.196,14.58,1
74,2025-09-08T08:40:58,dro_91006,drone,Kolkata,edge_039,4.124,slice_10,URLLC,UDP,9.979,17.166,5.662,0.809,31.929,178,0.307,0,-67,52.13,46.59,100.0,mobile,telemetry_aggregation,652.369,0.1,none,2.927,6.59,cloud,tls,True,0,0,False,high,9.442,0,,3.113,16.459,1
75,2025-09-19T20:33:55,rob_35430,robotic_arm,Lucknow,edge_044,3.705,slice_5,eMBB,UDP,7.095,13.325,2.966,0.7,23.418,77,0.649,2,-77,84.64,46.61,41.4,mobile,predictive_maintenance,110.058,5.0,edge_tpu,2.483,18.141,edge,tls,True,1,1,False,medium,17.296,1,,2.102,5.58,0
76,2025-09-06T01:43:16,aut_47363,autonomous_vehicle,Bengaluru,edge_049,3.523,slice_9,eMBB,HTTP/3,46.085,72.532,1.795,1.176,118.887,406,0.703,1,-61,64.59,84.31,29.4,aerial,anomaly_detection,213.933,0.5,tiny_ml,1.054,47.857,edge,blockchain_enabled,True,1,1,True,medium,-1.144,1,,1.007,4.808,0
77,2025-09-17T11:17:40,wea_13694,wearable,Chennai,edge_007,0.835,slice_1,URLLC,HTTP/3,0.466,0.1,14.1,2.236,1.418,83,0.0,0,-55,9.47,20.59,1.0,aerial,control_command,48.222,100.0,gpu,11.526,0.293,edge,secure_element,True,1,4,False,medium,16.68,1,,12.103,30.034,1
78,2025-09-15T23:39:44,tra_24573,traffic_sensor,Delhi,edge_016,2.437,slice_7,URLLC,TCP,4.92,0.409,6.101,0.865,6.246,216,0.0,0,-79,28.38,41.64,80.0,aerial,image_inference,20.198,0.1,edge_tpu,2.878,1.409,local,tls,True,0,0,False,medium,14.235,1,,2.637,12.512,1
79,2025-09-22T05:20:10,wea_84798,wearable,Mumbai,edge_012,5.427,slice_2,mMTC,CoAP,0.499,0.01,34.863,0.55,-5.095,84,1.228,0,-65,12.92,11.76,64.5,static,video_analytics,2.545,1.0,edge_tpu,18.367,1.067,hybrid,blockchain_enabled,True,0,0,True,high,41.52,1,,15.173,51.736,0
